# xc x0 x1 a b c d
0 0 3.125 0.00106337 -0.000158739 0.00173552 0.000202557
6.25 3.125 9.375 0.127053 0.0494742 0.00523174 -5.2309e-06
12.5 9.375 15.625 0.600231 0.0851572 -0.00147186 -0.000421102
18.75 15.625 21.875 0.976904 0.0244627 -0.00631154 -9.85793e-06
25 21.875 28.125 0.900351 -0.0413091 -0.00335104 0.000173804
31.25 28.125 34.375 0.564846 -0.0565516 0.000502024 8.62921e-05
37.5 34.375 40.625 0.257496 -0.0378752 0.00191992 -3.45125e-05
43.75 40.625 46.875 0.0920394 -0.0155716 0.00133466 -0.000101497
50 46.875 53.125 0.0345656 -0.00310594 0.00050671 -0.000134167
56.25 53.125 59.375 0.0201039 -0.000504606 0.00016201 -8.02987e-05
62.5 59.375 65.625 0.0140466 -0.000715238 6.16124e-05 -2.5403e-05
68.75 65.625 71.875 0.00911141 -0.00070486 -1.87775e-05 -1.66191e-05
75 71.875 78.125 0.00317894 -0.000657612 9.38651e-05 -2.21315e-06
81.25 78.125 84.375 0.00185254 7.08426e-06 -1.91054e-06 -5.28447e-06
87.5 84.375 90.625 0.00123824 -9.18925e-05 3.0333e-05 4.15739e-06
93.75 90.625 96.875 0.0017875 6.08106e-05 -1.78204e-05 1.61448e-06
100 96.875 101.6 0.00185162 7.91765e-07 -1.82377e-07 -1.77462e-07
