shift,tmean,tmeanerr,trms,trmserr,emean,emeanerr,erms,ermserr
-5,-0.0195637,0.000998793,0.0289353,0.000975551,1.00286,0.000101427,0.00174282,5.12035e-05
-4,-0.0173883,0.00061445,0.0186135,0.000528172,1.00226,7.79709e-05,0.0012592,3.82026e-05
-3,-0.0141802,0.000587701,0.0181111,0.000538626,1.00135,6.11923e-05,0.00109609,2.9344e-05
-2,-0.0146892,0.000733991,0.0220826,0.000736257,1.00081,5.54853e-05,0.000955996,2.89797e-05
-1,-0.0298816,0.0067035,0.141608,0.00931143,1.00054,4.91215e-05,0.000862612,2.32283e-05
0,0.0174248,0.00231482,0.0603375,0.00258868,1.00077,5.99122e-05,0.00105521,3.00166e-05
1,0.00567784,0.000570812,0.0175179,0.000482576,1.00056,5.20895e-05,0.000947043,2.82139e-05
2,0.00434176,0.000370272,0.0115457,0.000314798,1.00065,5.7164e-05,0.00100771,3.11327e-05
3,0.00272602,0.000264884,0.00847513,0.000211073,1.0008,6.33514e-05,0.00109949,3.49633e-05
4,0.00214055,0.00025085,0.00801829,0.00019677,1.00065,7.03942e-05,0.00106781,2.9593e-05
5,0.000930679,0.000201012,0.0064569,0.000167433,1.00056,7.13727e-05,0.00111046,3.71358e-05
6,0.000980188,0.000206549,0.00652256,0.000170617,1.00059,8.07883e-05,0.00121723,4.17867e-05
