# xc x0 x1 a b c d
0 0 3.25 0.00106446 -0.000145519 0.00171005 0.000211311
6.5 3.25 9.75 0.13987 0.0521725 0.00517373 -2.76931e-05
13 9.75 16.25 0.642586 0.0830076 -0.00216055 -0.000382708
19.5 16.25 22.75 0.991516 0.0145847 -0.00623163 5.51205e-05
26 22.75 29.25 0.855436 -0.0473978 -0.00265073 0.000189153
32.5 29.25 35.75 0.494679 -0.0545747 0.00097823 7.2567e-05
39 35.75 42.25 0.204567 -0.0319219 0.00189151 -5.36501e-05
45.5 42.25 48.75 0.0681105 -0.0110625 0.00107216 -0.000104004
52 48.75 55.25 0.0264225 -0.00187723 0.000402533 -9.13723e-05
58.5 55.25 61.75 0.0175239 -0.000612307 7.10874e-05 -3.4138e-05
65 61.75 68.25 0.0122841 -0.000679979 5.91787e-06 -1.62065e-05
71.5 68.25 74.75 0.00636416 -0.000890491 1.00773e-05 -6.28202e-06
78 74.75 81.25 0.00182243 -7.70756e-05 7.4425e-05 -1.46181e-05
84.5 81.25 87.75 0.00195366 1.33123e-05 -3.68702e-05 -9.76707e-06
91 87.75 94.25 0.00112585 0.000267427 4.12628e-05 -1.68854e-05
97.5 94.25 101.6 0.00185195 -3.92222e-09 -4.22411e-08 9.68777e-09
